rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,21,87801,0.06401043385021445,0.7694721638655462,0.7054617300153317,13,3031,595,0
2,21,119749,0.0,0.31662289915966385,0.31662289915966385,13,3031,595,0
3,21,19495,1.3683100152589904,1.6735491071428572,0.3052390918838668,13,3031,595,0
4,21,48010,0.1612181932530518,0.44054621848739495,0.27932802523434314,13,3031,595,0
5,21,44526,0.14679947830748927,0.32221638655462187,0.1754169082471326,13,3031,595,0
6,21,69155,0.051559664714615636,0.22602415966386555,0.17446449494924993,13,3031,595,0
7,21,32238,0.00043044787198944244,0.12609637605042018,0.12566592817843072,13,3031,595,0
8,21,19646,0.0030672632794457276,0.12811843487394958,0.12505117159450385,13,3031,595,0
9,21,124609,0.03238282538766084,0.13728991596638657,0.10490709057872573,13,3031,595,0
10,21,27391,0.027259980204552954,0.13106617647058824,0.1038061962660353,13,3031,595,0
11,21,20451,0.0018751546519300561,0.10507484243697479,0.10319968778504474,13,3031,595,0
12,21,72872,0.0004549344275816562,0.09777442226890756,0.09731948784132591,13,3031,595,0
13,21,64668,0.00063922797756516,0.09552914915966386,0.0948899211820987,13,3031,595,0
14,21,86881,0.00200660879247773,0.07640493697478992,0.07439832818231219,13,3031,595,0
15,21,35807,0.01901703233256351,0.09275210084033614,0.07373506850777263,13,3031,595,0
16,21,76644,0.0003286353513691851,0.07259716386554622,0.07226852851417703,13,3031,595,0
17,21,18639,0.033403528126031014,0.09605435924369748,0.06265083111766648,13,3031,595,0
18,21,44113,0.013484359534806995,0.07563681722689075,0.06215245769208376,13,3031,595,0
19,21,71451,0.04805937603101287,0.10877100840336135,0.06071163237234848,13,3031,595,0
20,21,83445,1.0434958553282745,1.1031315651260505,0.05963570979777599,13,3031,595,0
21,21,42204,0.05141661167931376,0.10993303571428571,0.05851642403497195,13,3031,595,0
22,21,71870,0.012542271527548663,0.07066045168067227,0.0581181801531236,13,3031,595,0
23,21,20196,0.012696923457604752,0.06884847689075631,0.056151553433151556,13,3031,595,0
24,21,89844,0.011020238782580006,0.06506696428571429,0.05404672550313429,13,3031,595,0
25,21,37306,0.006402589904322006,0.05965073529411765,0.053248145389795644,13,3031,595,0
26,21,82800,0.0003776084625536127,0.052553834033613446,0.05217622557105983,13,3031,595,0
27,21,81867,0.003765774496865721,0.05323004201680672,0.049464267519941,13,3031,595,0
28,21,52069,0.009201789838337183,0.05781906512605042,0.048617275287713244,13,3031,595,0
29,21,76765,0.0008853822995710986,0.04923844537815126,0.04835306307858016,13,3031,595,0
30,21,87663,0.027279311695809962,0.07501969537815126,0.04774038368234129,13,3031,595,0
31,21,119141,0.00012758784229627187,0.04729516806722689,0.047167580224930616,13,3031,595,0
32,21,121410,0.03556478884856483,0.0821953781512605,0.046630589302695674,13,3031,595,0
33,21,12526,0.0001688283569778951,0.04583114495798319,0.045662316601005296,13,3031,595,0
34,21,69840,0.006647455460244144,0.051024159663865545,0.0443767042036214,13,3031,595,0
35,21,87892,0.007291838502144507,0.050032825630252103,0.042740987128107595,13,3031,595,0
36,21,12241,0.0005374154569449027,0.04144564075630252,0.040908225299357615,13,3031,595,0
37,21,107245,0.0013828460079181788,0.04196428571428571,0.04058143970636753,13,3031,595,0
38,21,3577,0.001306808808973936,0.04012605042016807,0.038819241611194134,13,3031,595,0
39,21,15775,0.0014227977565160013,0.03920693277310924,0.037784135016593244,13,3031,595,0
40,21,30483,0.0,0.03748686974789916,0.03748686974789916,13,3031,595,0
41,21,25420,0.01711352482678984,0.05457589285714286,0.03746236803035302,13,3031,595,0
42,21,90211,0.026485431788188716,0.06202074579831933,0.03553531401013062,13,3031,595,0
43,21,66423,0.00019331491257010888,0.03560924369747899,0.03541592878490888,13,3031,595,0
44,21,67507,0.001311963873309139,0.03614101890756303,0.03482905503425389,13,3031,595,0
45,21,93476,0.0001340316727152755,0.034939600840336135,0.03480556916762086,13,3031,595,0
46,21,85027,0.014413559881227318,0.04917279411764706,0.03475923423641974,13,3031,595,0
47,21,29874,0.002519537693830419,0.03674501050420168,0.03422547281037126,13,3031,595,0
48,21,62059,0.02226472286374134,0.056394432773109245,0.03412970990936791,13,3031,595,0
49,21,53305,0.08441675602111515,0.11815257352941176,0.033735817508296614,13,3031,595,0
50,21,62549,0.007860184345100626,0.04096638655462185,0.03310620220952122,13,3031,595,0
51,21,42435,0.0015194552128010557,0.034460346638655465,0.03294089142585441,13,3031,595,0
52,21,72285,0.0003376567139557902,0.03322610294117647,0.03288844622722068,13,3031,595,0
53,21,7533,0.003060819449026724,0.035891544117647056,0.03283072466862033,13,3031,595,0
54,21,126121,0.025047168838667106,0.05773371848739496,0.03268654964872786,13,3031,595,0
55,21,13675,0.03908183149125701,0.07164522058823529,0.03256338909697828,13,3031,595,0
56,21,27958,0.014593987132959419,0.04698660714285714,0.032392620009897725,13,3031,595,0
57,21,97478,0.0006082975915539426,0.03227415966386555,0.031665862072311604,13,3031,595,0
58,21,65006,0.008088295941933355,0.039712447478991594,0.03162415153705824,13,3031,595,0
59,21,96372,0.0006314953810623556,0.03203781512605042,0.03140631974498806,13,3031,595,0
60,21,84810,0.0005915436324645331,0.03164390756302521,0.031052363930560677,13,3031,595,0
61,21,11643,0.0015735833883206863,0.03237263655462185,0.030799053166301167,13,3031,595,0
62,21,114898,0.0007461955625206202,0.03128939075630252,0.030543195193781902,13,3031,595,0
63,21,11111,0.0,0.030271796218487395,0.030271796218487395,13,3031,595,0
64,21,28129,0.0,0.029877888655462186,0.029877888655462186,13,3031,595,0
65,21,85999,0.0,0.029582457983193276,0.029582457983193276,13,3031,595,0
66,21,118400,0.0,0.02928702731092437,0.02928702731092437,13,3031,595,0
67,21,58238,0.005311005031342791,0.03436186974789916,0.029050864716556372,13,3031,595,0
68,21,44024,0.0002294003629165292,0.02926076680672269,0.02903136644380616,13,3031,595,0
69,21,56237,0.003653651847575058,0.032536764705882355,0.028883112858307296,13,3031,595,0
70,21,13543,0.006299488617617948,0.03471638655462185,0.0284168979370039,13,3031,595,0
71,21,35142,0.008375690778620918,0.03676470588235294,0.028389015103732027,13,3031,595,0
72,21,75320,1.2887660838007258e-06,0.028249737394957983,0.028248448628874184,13,3031,595,0
73,21,56772,0.0,0.02804621848739496,0.02804621848739496,13,3031,595,0
74,21,59194,0.001024569036621577,0.028991596638655463,0.027967027602033886,13,3031,595,0
75,21,29486,0.009218543797426593,0.03634453781512605,0.02712599401769946,13,3031,595,0
76,21,80638,0.0102972410095678,0.037381827731092436,0.027084586721524636,13,3031,595,0
77,21,116991,0.002036250412405147,0.029044117647058824,0.027007867234653676,13,3031,595,0
78,21,11056,0.001208862586605081,0.027954306722689077,0.026745444136083995,13,3031,595,0
79,21,68508,0.015673973111184427,0.042325367647058826,0.0266513945358744,13,3031,595,0
80,21,72281,0.007961996865720885,0.03457195378151261,0.026609956915791724,13,3031,595,0
81,21,128355,0.0,0.02658876050420168,0.02658876050420168,13,3031,595,0
82,21,44238,0.0028043549983503796,0.029096638655462186,0.026292283657111806,13,3031,595,0
83,21,22411,0.0,0.026280199579831933,0.026280199579831933,13,3031,595,0
84,21,72671,0.0018532456285054438,0.02808560924369748,0.026232363615192038,13,3031,595,0
85,21,2342,0.0,0.02578125,0.02578125,13,3031,595,0
86,21,20807,0.05905899455625206,0.08455882352941177,0.025499828973159708,13,3031,595,0
87,21,105444,0.0009111576212471131,0.025951943277310926,0.025040785656063814,13,3031,595,0
88,21,114561,0.024598678241504454,0.049448529411764704,0.02484985117026025,13,3031,595,0
89,21,438,8.634732761464863e-05,0.02465204831932773,0.024565700991713083,13,3031,595,0
90,21,68625,0.0037876835202903334,0.02806591386554622,0.024278230345255884,13,3031,595,0
91,21,22211,0.005117690118772682,0.029149159663865547,0.024031469545092866,13,3031,595,0
92,21,123856,0.0017024599967007587,0.025262605042016807,0.023560145045316047,13,3031,595,0
93,21,15112,0.001654775651600132,0.025078781512605043,0.02342400586100491,13,3031,595,0
94,21,103957,0.0,0.02336528361344538,0.02336528361344538,13,3031,595,0
95,21,91546,0.0013506268558231608,0.024330357142857143,0.022979730287033984,13,3031,595,0
96,21,27586,0.003375278373474101,0.02618172268907563,0.02280644431560153,13,3031,595,0
97,21,121858,0.0,0.02274816176470588,0.02274816176470588,13,3031,595,0
98,21,26655,0.0,0.02273503151260504,0.02273503151260504,13,3031,595,0
99,21,84329,0.0015349204058066645,0.023975840336134455,0.02244091993032779,13,3031,595,0
100,21,68494,0.0,0.022400210084033614,0.022400210084033614,13,3031,595,0
101,21,128638,0.0019383041900362917,0.02421875,0.02228044580996371,13,3031,595,0
102,21,14863,0.001175354668426262,0.023325892857142858,0.022150538188716595,13,3031,595,0
103,21,70498,6.572707027383702e-05,0.021848739495798318,0.02178301242552448,13,3031,595,0
104,21,1236,0.0015826047509072913,0.023358718487394958,0.021776113736487666,13,3031,595,0
105,21,70471,0.003709068789178489,0.02501313025210084,0.021304061462922352,13,3031,595,0
106,21,22376,0.0019962986638073243,0.023155199579831934,0.021158900916024608,13,3031,595,0
107,21,10611,0.0006521156384031672,0.021763392857142856,0.021111277218739687,13,3031,595,0
108,21,43331,0.0065598193665456946,0.027534138655462184,0.02097431928891649,13,3031,595,0
109,21,22671,3.99517485978225e-05,0.02100840336134454,0.020968451612746717,13,3031,595,0
110,21,44879,0.0,0.02069327731092437,0.02069327731092437,13,3031,595,0
111,21,67351,0.005937345348069944,0.0265625,0.020625154651930055,13,3031,595,0
