rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,16,18883,0.35013036133960046,0.9024142387218045,0.5522838773822041,14,3404,665,0
2,16,485,3.1697881857740895,3.4466106672932333,0.2768224815191438,14,3404,665,0
3,16,3280,2.868867508813161e-06,0.0745359492481203,0.07453308038061149,14,3404,665,0
4,16,41738,0.0,0.07079710996240601,0.07079710996240601,14,3404,665,0
5,16,108402,0.1000821643654524,0.17037711466165414,0.07029495029620174,14,3404,665,0
6,16,68907,0.0008744308166862514,0.06648261278195489,0.06560818196526863,14,3404,665,0
7,16,121114,0.04612679935370153,0.09736842105263158,0.05124162169893005,14,3404,665,0
8,16,90536,0.07075143672884841,0.11710820018796993,0.046356763459121514,14,3404,665,0
9,16,61762,0.000981152688014101,0.0462640977443609,0.0452829450563468,14,3404,665,0
10,16,7347,0.0006196753819036428,0.04353853383458647,0.042918858452682826,14,3404,665,0
11,16,96979,0.011854734319917744,0.05423519736842105,0.042380463048503306,14,3404,665,0
12,16,2118,0.0007665613983548767,0.039967105263157894,0.03920054386480302,14,3404,665,0
13,16,80229,0.012831296819917744,0.05138921522556391,0.038557918405646166,14,3404,665,0
14,16,113709,0.013762531213278495,0.05202067669172932,0.03825814547845083,14,3404,665,0
15,16,69050,0.0011234485164512338,0.03739426691729323,0.036270818400841995,14,3404,665,0
16,16,93347,6.77052732079906e-05,0.03563498590225564,0.03556728062904765,14,3404,665,0
17,16,107819,0.0,0.03366423872180451,0.03366423872180451,14,3404,665,0
18,16,70023,0.0,0.03211936090225564,0.03211936090225564,14,3404,665,0
19,16,56748,9.065621327849589e-05,0.03146734022556391,0.03137668401228542,14,3404,665,0
20,16,106811,4.5901880141010574e-06,0.031144266917293235,0.031139676729279135,14,3404,665,0
21,16,73809,0.0,0.02991658834586466,0.02991658834586466,14,3404,665,0
22,16,129920,0.012510557432432432,0.04117128759398496,0.028660730161552527,14,3404,665,0
23,16,100843,0.0,0.02863310620300752,0.02863310620300752,14,3404,665,0
24,16,34509,0.0,0.028406954887218044,0.028406954887218044,14,3404,665,0
25,16,2295,0.008765537786427732,0.03653078007518797,0.02776524228876024,14,3404,665,0
26,16,47174,0.004226989387485312,0.03096217105263158,0.026735181665146268,14,3404,665,0
27,16,98442,0.0004435269168625147,0.02661830357142857,0.026174776654566054,14,3404,665,0
28,16,84549,0.014002942310517038,0.03976151315789474,0.025758570847377697,14,3404,665,0
29,16,17715,0.010913172003525264,0.03643092105263158,0.025517749049106316,14,3404,665,0
