rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,3,28394,0.877222594342323,0.926384115683908,0.049161521341585024,14,3404,665,0
2,3,114268,0.00023573604288770688,0.03215484709067953,0.03191911104779182,14,3404,665,0
3,3,39964,0.0,0.02962277789115933,0.02962277789115933,14,3404,665,0
4,3,120314,0.0,0.021139574214656096,0.021139574214656096,14,3404,665,0
5,3,108738,0.006168323654925854,0.02708585945445364,0.02091753579952779,14,3404,665,0
6,3,35778,0.02881095366978163,0.049172373636579454,0.020361419966797824,14,3404,665,0
7,3,41251,0.0003748619094599246,0.019577480589259726,0.0192026186797998,14,3404,665,0
8,3,46709,0.007104722991980018,0.024172086081978027,0.01706736308999801,14,3404,665,0
9,3,56506,1.627585813264682e-05,0.01652242532057841,0.016506149462445763,14,3404,665,0
10,3,95057,0.01631666305696013,0.031668325827061736,0.015351662770101606,14,3404,665,0
11,3,18863,0.026115103549797198,0.0412032043892917,0.015088100839494505,14,3404,665,0
12,3,32593,0.010285258708398066,0.02487329290154918,0.014588034193151115,14,3404,665,0
13,3,43667,0.015119921454875335,0.029462983290334477,0.014343061835459142,14,3404,665,0
14,3,117699,0.0,0.013644409996756438,0.013644409996756438,14,3404,665,0
15,3,110095,0.0,0.01321808375311173,0.01321808375311173,14,3404,665,0
16,3,84079,0.0,0.013037337779696042,0.013037337779696042,14,3404,665,0
17,3,8447,0.0016803003324891276,0.014674057435848615,0.012993757103359488,14,3404,665,0
18,3,13392,0.002820522220850687,0.014893688757209358,0.01207316653635867,14,3404,665,0
19,3,112178,0.005778091825347041,0.017626035062830885,0.011847943237483845,14,3404,665,0
20,3,127270,0.00013371594881607314,0.011965179501323255,0.011831463552507181,14,3404,665,0
21,3,61109,0.0021999128978071277,0.013679385589884794,0.011479472692077667,14,3404,665,0
22,3,1848,0.0004880918645396937,0.011076240067233739,0.010588148202694044,14,3404,665,0
23,3,123921,0.0043782956419088645,0.014712677890262827,0.010334382248353962,14,3404,665,0
24,3,52906,0.002789756779637966,0.013006315008114357,0.010216558228476391,14,3404,665,0
25,3,83283,0.00017557734332568622,0.010209360459245417,0.01003378311591973,14,3404,665,0
26,3,67330,0.0012464782901894541,0.010875685840670501,0.009629207550481047,14,3404,665,0
27,3,129270,0.004853399973461195,0.014480913076317244,0.009627513102856049,14,3404,665,0
28,3,128599,2.366218340135678e-05,0.009594027219492058,0.0095703650360907,14,3404,665,0
29,3,125333,0.0,0.009564658316226602,0.009564658316226602,14,3404,665,0
30,3,10972,0.00023949339706124753,0.009317216297805755,0.009077722900744508,14,3404,665,0
31,3,61248,0.0,0.008967229800069029,0.008967229800069029,14,3404,665,0
32,3,99964,2.4072714493679004e-05,0.008817460317965198,0.008793387603471519,14,3404,665,0
33,3,120289,0.0016112107098934481,0.010138531171775048,0.0085273204618816,14,3404,665,0
34,3,117453,1.197199240291156e-05,0.008438242256037693,0.008426270263634782,14,3404,665,0
35,3,87732,0.001048970482862378,0.009325898720079566,0.008276928237217188,14,3404,665,0
36,3,59735,0.0,0.007932603191269394,0.007932603191269394,14,3404,665,0
37,3,97774,0.00019121788278568183,0.008091502771470619,0.007900284888684937,14,3404,665,0
38,3,125840,0.0,0.00772595505629267,0.00772595505629267,14,3404,665,0
39,3,71977,0.00017748258314170294,0.007826599997543471,0.0076491174144017685,14,3404,665,0
40,3,104324,0.00014499460068785995,0.007743477599623264,0.007598482998935404,14,3404,665,0
41,3,22445,0.0,0.007564466138151598,0.007564466138151598,14,3404,665,0
42,3,118856,0.00015022051683297822,0.0076943648435575576,0.00754414432672458,14,3404,665,0
43,3,70322,0.00020128915870816418,0.007666946539890189,0.007465657381182025,14,3404,665,0
44,3,82233,0.0009740263463599738,0.00837574788533259,0.007401721538972616,14,3404,665,0
45,3,48646,0.011107321737745807,0.0183116078344532,0.0072042860967073945,14,3404,665,0
46,3,129491,0.004321635606637715,0.01151660753017049,0.007194971923532776,14,3404,665,0
47,3,65541,0.023996171884532753,0.031174397638858393,0.00717822575432564,14,3404,665,0
48,3,101631,0.0007943169932739944,0.00787963698885605,0.007085319995582056,14,3404,665,0
49,3,14093,0.004171603018342385,0.011151941042407435,0.00698033802406505,14,3404,665,0
50,3,86138,0.0,0.006977781046926369,0.006977781046926369,14,3404,665,0
