rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,24,102449,5.278830729977112,8.369037874423348,3.0902071444462367,14,3121,671,0
2,24,25313,0.4597049964961671,1.1816734800065771,0.7219684835104101,14,3121,671,0
3,24,99283,0.12453041480634412,0.5553735996864819,0.4308431848801378,14,3121,671,0
4,24,93739,0.10184388590942274,0.4345377792849736,0.3326938933755509,14,3121,671,0
5,24,120112,0.137306284470922,0.31526848520861933,0.17796220073769733,14,3121,671,0
6,24,63761,0.0055096952143608565,0.15893277495587663,0.15342307974151578,14,3121,671,0
7,24,101696,0.05829984035439434,0.20844607714973215,0.1501462367953378,14,3121,671,0
8,24,23366,0.047292877279515054,0.18325643821886248,0.13596356093934742,14,3121,671,0
9,24,41895,0.02162078081316629,0.14076882311113098,0.11914804229796469,14,3121,671,0
10,24,54210,0.03190579126705089,0.1366830751523972,0.1047772838853463,14,3121,671,0
11,24,114541,0.04142228855319695,0.142343669366987,0.10092138081379005,14,3121,671,0
12,24,21838,0.028653343058840153,0.128355957140248,0.09970261408140785,14,3121,671,0
13,24,26854,0.04910999492382908,0.1459328358262073,0.09682284090237822,14,3121,671,0
14,24,4648,0.06964344574896712,0.16630009559856182,0.0966566498495947,14,3121,671,0
15,24,11107,0.02180319254512802,0.11834214843181749,0.09653895588668947,14,3121,671,0
16,24,69392,0.011021744136831576,0.09801489157692726,0.08699314744009569,14,3121,671,0
17,24,63670,0.003790415262249295,0.0890907506694955,0.0853003354072462,14,3121,671,0
18,24,49712,0.002121454391329817,0.08329020464128929,0.08116875024995948,14,3121,671,0
19,24,117677,0.0006353101765799255,0.08024965224174838,0.07961434206516844,14,3121,671,0
20,24,74297,0.018334466881667066,0.09792505615343708,0.07959058927177001,14,3121,671,0
21,24,66768,0.0031534996114062955,0.0799477731331856,0.07679427352177931,14,3121,671,0
22,24,31113,0.09613722284363473,0.1725824316475821,0.07644520880394738,14,3121,671,0
23,24,109786,0.0010263069705093834,0.0773931345967285,0.07636682762621912,14,3121,671,0
24,24,109543,0.007025290026071931,0.08331966481636933,0.07629437479029741,14,3121,671,0
25,24,46620,0.013074519524721816,0.08688298568463325,0.07380846615991143,14,3121,671,0
26,24,118359,5.01184890846419e-05,0.07373245775135881,0.07368233926227417,14,3121,671,0
27,24,10802,0.02088524254315,0.09328827527378218,0.07240303273063219,14,3121,671,0
28,24,39888,0.018189169840104154,0.090420287017505,0.07223111717740084,14,3121,671,0
29,24,59504,0.002902235674525686,0.0741042619152017,0.07120202624067601,14,3121,671,0
