rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,23,39242,7.349526022953562,9.53922524462898,2.1896992216754185,299,72347,17747,1
2,23,78831,4.220486036112476e-06,0.883247735461619,0.883243514975583,299,72347,17747,1
3,23,105259,0.00027058248325921753,0.3326983831828606,0.3324278006996014,299,72347,17747,1
4,23,59522,0.053187196172136894,0.26892327562787166,0.21573607945573475,299,72347,17747,1
5,23,78215,0.13241870718199442,0.27504830750550546,0.14262960032351105,299,72347,17747,1
6,23,117066,4.163121237702992e-05,0.11220852539595093,0.1121668941835739,299,72347,17747,1
7,23,40756,0.04995670644584557,0.16121363941891065,0.11125693297306508,299,72347,17747,1
8,23,61468,0.00027631828815799823,0.07439322010763912,0.07411690181948112,299,72347,17747,1
9,23,95639,0.02393071629035983,0.09794648617092534,0.07401576988056552,299,72347,17747,1
10,23,82857,0.01867036445243937,0.09207061449539808,0.0734002500429587,299,72347,17747,1
11,23,127528,0.003748733377581567,0.07483780213694285,0.07108906875936129,299,72347,17747,1
12,23,57734,0.026722178416248965,0.09575227841521453,0.06903009999896556,299,72347,17747,1
13,23,10030,0.00031042646464805434,0.06869502627409205,0.06838459980944399,299,72347,17747,1
14,23,7736,0.009448919075395027,0.06904076069637188,0.05959184162097686,299,72347,17747,1
15,23,86211,0.003744126951648829,0.06260955062660455,0.058865423674955716,299,72347,17747,1
16,23,51822,0.05607086033890829,0.10923580596552827,0.05316494562661998,299,72347,17747,1
17,23,33639,0.0008281213278106622,0.05178559002303659,0.05095746869522593,299,72347,17747,1
18,23,124185,0.039799121025328676,0.09013190598209722,0.050332784956768545,299,72347,17747,1
19,23,84078,0.021950774194791463,0.06991350191278817,0.0479627277179967,299,72347,17747,1
20,23,85904,0.00400658671893674,0.05025170167697854,0.046245114958041796,299,72347,17747,1
21,23,94789,1.2205058652720722e-05,0.04616616209839202,0.0461539570397393,299,72347,17747,1
22,23,86998,0.012744004561378993,0.05633926125093405,0.04359525668955506,299,72347,17747,1
23,23,55583,0.04708014580942396,0.08772556949265095,0.04064542368322699,299,72347,17747,1
24,23,10282,0.00048296615858266386,0.0405985434456034,0.04011557728702074,299,72347,17747,1
25,23,19311,0.004829466075958076,0.044696814576342926,0.03986734850038485,299,72347,17747,1
26,23,43678,0.0503418772670842,0.08968267840619505,0.03934080113911085,299,72347,17747,1
27,23,131003,0.009609130054640203,0.04880856891566148,0.03919943886102128,299,72347,17747,1
28,23,39554,0.023798843054155312,0.06250210570670439,0.03870326265254908,299,72347,17747,1
29,23,112727,0.0015839516759903038,0.039712648811684806,0.0381286971356945,299,72347,17747,1
30,23,48776,0.00029222488817587546,0.03799144089341961,0.03769921600524374,299,72347,17747,1
31,23,88367,0.007386291286146432,0.04470555378398926,0.03731926249784283,299,72347,17747,1
32,23,76194,0.010275654062747983,0.04725301971551242,0.03697736565276444,299,72347,17747,1
33,23,88443,0.03138332931789589,0.06797273384598755,0.03658940452809166,299,72347,17747,1
34,23,36943,0.014764340666954992,0.050112545973636805,0.03534820530668181,299,72347,17747,1
35,23,63708,0.012468119240192666,0.0471238977498669,0.03465577850967424,299,72347,17747,1
36,23,119966,0.006517464504667371,0.04070622626003331,0.03418876175536594,299,72347,17747,1
37,23,33563,0.14033281163348155,0.17403507724396222,0.033702265610480675,299,72347,17747,1
38,23,81643,0.0006591980703167983,0.03431540553549065,0.03365620746517385,299,72347,17747,1
39,23,108949,0.003372640496144775,0.03645288489259791,0.033080244396453136,299,72347,17747,1
40,23,1744,0.01819513298049845,0.05118339207784613,0.03298825909734768,299,72347,17747,1
41,23,113627,0.07192432378542256,0.1027624926005868,0.03083816881516424,299,72347,17747,1
42,23,94555,0.017247528046640155,0.04691024202290574,0.029662713976265583,299,72347,17747,1
43,23,76256,0.03611309410407021,0.0655893991211133,0.029476305017043097,299,72347,17747,1
44,23,88324,0.01605147109471566,0.04545595630635717,0.029404485211641507,299,72347,17747,1
45,23,25286,0.0017953398216976769,0.030948115280714346,0.02915277545901667,299,72347,17747,1
46,23,56577,0.06284704723410647,0.09156784280871594,0.028720795574609465,299,72347,17747,1
47,23,61091,0.0020765379684635765,0.029649280650125738,0.02757274268166216,299,72347,17747,1
48,23,67412,0.0007947746128236199,0.028025345300205836,0.027230570687382216,299,72347,17747,1
49,23,58079,0.0025215126270395545,0.02909162434565681,0.026570111718617253,299,72347,17747,1
50,23,92715,0.009504832220980926,0.03573117920618859,0.026226346985207663,299,72347,17747,1
51,23,130996,0.000335147670046994,0.02648286920848956,0.026147721538442567,299,72347,17747,1
52,23,97250,0.002415669633305723,0.02844951184282818,0.026033842209522456,299,72347,17747,1
53,23,102593,0.002936993394947502,0.028897611473501415,0.025960618078553915,299,72347,17747,1
54,23,16207,0.021561497507698434,0.04736914109637008,0.025807643588671648,299,72347,17747,1
55,23,43367,0.007393633777359731,0.033115639666533435,0.025722005889173703,299,72347,17747,1
56,23,39372,0.004437844808197259,0.030158146873085715,0.025720302064888456,299,72347,17747,1
57,23,113048,0.0007584330137878037,0.02638788107638581,0.025629448062598006,299,72347,17747,1
58,23,91450,0.0027351179199356897,0.02835727316192756,0.02562215524199187,299,72347,17747,1
59,23,4828,0.002711717289223186,0.02786246036648218,0.025150743077258994,299,72347,17747,1
60,23,122755,0.0006387776004730219,0.025381262374057748,0.024742484773584726,299,72347,17747,1
61,23,2532,0.0037143876895041478,0.028362095738572044,0.024647708049067896,299,72347,17747,1
62,23,93765,0.025779193913997765,0.05041306052448916,0.024633866610491398,299,72347,17747,1
63,23,15963,0.009503584681504635,0.03399703763819524,0.024493452956690608,299,72347,17747,1
64,23,13169,0.0011190316821964278,0.02552077477699149,0.024401743094795064,299,72347,17747,1
65,23,120422,0.004040870747917078,0.028439098351154463,0.024398227603237385,299,72347,17747,1
66,23,797,0.001874749470672248,0.026197625394228458,0.02432287592355621,299,72347,17747,1
67,23,55770,0.00012209201714391492,0.024368246433543277,0.024246154416399362,299,72347,17747,1
68,23,65151,0.0013566162816728495,0.02520628721638702,0.02384967093471417,299,72347,17747,1
69,23,113299,0.0003185908950204933,0.02413302986845753,0.023814438973437036,299,72347,17747,1
70,23,76418,0.0002198632896868481,0.02365686137355915,0.023436998083872302,299,72347,17747,1
71,23,93266,0.003067186299654178,0.02636700298268927,0.02329981668303509,299,72347,17747,1
72,23,22826,0.004344157700550881,0.02758345235475741,0.02323929465420653,299,72347,17747,1
73,23,55919,0.014590734261947702,0.03778138311926038,0.02319064885731268,299,72347,17747,1
74,23,124359,0.013185779997433542,0.03634960442010843,0.023163824422674888,299,72347,17747,1
75,23,73748,0.0018365568570774232,0.02484546123663991,0.023008904379562486,299,72347,17747,1
76,23,82415,0.0019005826794321222,0.024877214688355288,0.022976632008923165,299,72347,17747,1
77,23,7428,0.013676075974315216,0.03642831027647096,0.022752234302155748,299,72347,17747,1
78,23,101320,0.03295146621862962,0.055488777370413585,0.022537311151783965,299,72347,17747,1
79,23,21268,0.030273856496835415,0.05278525859932866,0.022511402102493243,299,72347,17747,1
80,23,38011,0.008802654981395949,0.031162132878185828,0.02235947789678988,299,72347,17747,1
81,23,83809,0.02317938130942711,0.04529424843188181,0.0221148671224547,299,72347,17747,1
82,23,37294,0.004084319779724324,0.025881348045058216,0.021797028265333893,299,72347,17747,1
83,23,63569,0.005874653162911573,0.027665438406303228,0.021790785243391654,299,72347,17747,1
84,23,76247,0.0008812794910489781,0.022608335287354953,0.021727055796305975,299,72347,17747,1
85,23,76448,0.0007268390425575139,0.02242918707341824,0.021702348030860727,299,72347,17747,1
86,23,23801,0.007135938043465001,0.02875289517365108,0.02161695713018608,299,72347,17747,1
87,23,128370,0.006394738684244852,0.027718050985598038,0.021323312301353186,299,72347,17747,1
88,23,94996,0.010949640201249,0.03199814597782703,0.021048505776578033,299,72347,17747,1
89,23,68371,0.002686613897191493,0.02370868494086259,0.021022071043671098,299,72347,17747,1
90,23,54642,0.0004909069232151125,0.02144957414365451,0.0209586672204394,299,72347,17747,1
