rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,24,102449,6.681317085869914,8.384454172876303,1.7031370870063895,14,3121,671,0
2,24,25313,0.2232219741268824,1.1130949608792846,0.8898729867524022,14,3121,671,0
3,24,99283,0.21770366068567767,0.5507579638599106,0.3330543031742329,14,3121,671,0
4,24,93739,0.13236192326177507,0.4390194206408346,0.30665749737905956,14,3121,671,0
5,24,120112,0.12353562560076899,0.32158159463487335,0.19804596903410437,14,3121,671,0
6,24,23366,0.0326630587151554,0.1732488822652757,0.1405858235501203,14,3121,671,0
7,24,63761,0.00915546900032041,0.14656878725782416,0.13741331825750375,14,3121,671,0
8,24,54210,0.02626111422620955,0.14507265275707898,0.11881153853086943,14,3121,671,0
9,24,41895,0.02996961110221083,0.1387621087928465,0.10879249769063568,14,3121,671,0
10,24,101696,0.09919446892021788,0.20587858606557377,0.10668411714535589,14,3121,671,0
11,24,21838,0.021192125921179108,0.12763715536512668,0.10644502944394757,14,3121,671,0
12,24,114541,0.051689913088753606,0.14979391766020864,0.09810400457145503,14,3121,671,0
13,24,31113,0.08385107938160846,0.17419197093889716,0.0903408915572887,14,3121,671,0
14,24,11107,0.032377693447612946,0.12256077682563338,0.09018308337802043,14,3121,671,0
15,24,66768,0.0016320890740147388,0.08838836624441132,0.08675627717039658,14,3121,671,0
16,24,4648,0.08340175424543415,0.16890019560357675,0.0854984413581426,14,3121,671,0
17,24,69392,0.019255897548862543,0.10354764344262295,0.0842917458937604,14,3121,671,0
18,24,117677,0.0012566084588272988,0.08056422317436662,0.07930761471553932,14,3121,671,0
19,24,125257,0.09138196892021788,0.16815503912071536,0.07677307020049748,14,3121,671,0
20,24,63670,0.005681021707785966,0.08229904061102832,0.07661801890324235,14,3121,671,0
21,24,109786,0.0017171980134572252,0.0773798435171386,0.07566264550368137,14,3121,671,0
22,24,44966,0.01568507689842999,0.08955267324888226,0.07386759635045227,14,3121,671,0
23,24,49712,0.003587091477090676,0.07597685357675112,0.07238976209966044,14,3121,671,0
24,24,39888,0.025582745914770905,0.09664912444113263,0.07106637852636173,14,3121,671,0
25,24,35592,0.008497126321691766,0.07884687034277198,0.07034974402108021,14,3121,671,0
26,24,118359,8.385733739186158e-05,0.06954987891207154,0.06946602157467968,14,3121,671,0
27,24,109543,0.012812650192246075,0.08148402570789866,0.06867137551565258,14,3121,671,0
28,24,46620,0.022416192726690164,0.09093237704918032,0.06851618432249015,14,3121,671,0
29,24,59504,0.004142802787568087,0.07160488077496274,0.06746207798739466,14,3121,671,0
30,24,10802,0.024351169496956104,0.09123509687034277,0.06688392737338666,14,3121,671,0
31,24,74297,0.04056817726690164,0.10393768628912071,0.06336950902221908,14,3121,671,0
32,24,55727,0.009498407962191605,0.07091793964232489,0.06141953168013328,14,3121,671,0
33,24,26854,0.06662402875680871,0.12763715536512668,0.061013126608317966,14,3121,671,0
34,24,22283,0.00013141821531560398,0.061131939269746645,0.06100052105443104,14,3121,671,0
35,24,56300,9.512175584748478e-05,0.06071278874813711,0.060617666992289626,14,3121,671,0
36,24,85144,0.003910004806151874,0.06312872578241431,0.059218720976262434,14,3121,671,0
37,24,105904,0.01708186478692727,0.07293801229508197,0.0558561475081547,14,3121,671,0
38,24,16643,0.02713473245754566,0.08111726900149031,0.05398253654394465,14,3121,671,0
39,24,71395,0.028146026914450496,0.0813384873323398,0.0531924604178893,14,3121,671,0
40,24,106204,7.885092918936238e-05,0.052393815201192254,0.05231496427200289,14,3121,671,0
41,24,87782,0.002304199375200256,0.05403548807749627,0.05173128870229601,14,3121,671,0
42,24,30294,0.0017534944729253445,0.051083969821162444,0.0493304753482371,14,3121,671,0
43,24,54187,0.023041993752002565,0.07232092958271237,0.0492789358307098,14,3121,671,0
44,24,6776,0.005005156600448574,0.05411698956780924,0.049111832967360665,14,3121,671,0
45,24,106072,0.015581193928228132,0.06338487332339791,0.04780367939516978,14,3121,671,0
46,24,120817,0.02846768864146107,0.07618642883755589,0.04771874019609482,14,3121,671,0
47,24,54801,0.004237924543415572,0.051893163189269745,0.04765523864585417,14,3121,671,0
48,24,115928,0.006788689522588914,0.05370366058122206,0.04691497105863314,14,3121,671,0
49,24,5309,0.006340615988465236,0.05316807935916543,0.04682746337070019,14,3121,671,0
50,24,113904,0.0016045538289009933,0.04828963301043219,0.0466850791815312,14,3121,671,0
51,24,45067,0.0016859079621916052,0.0476841933681073,0.0459982854059157,14,3121,671,0
52,24,27815,0.0004668475648830503,0.046351061847988075,0.045884214283105025,14,3121,671,0
53,24,50159,0.005219180551105415,0.05091514530551416,0.04569596475440874,14,3121,671,0
54,24,85088,0.03264678788849728,0.07831128912071535,0.04566450123221807,14,3121,671,0
55,24,57787,0.0013730074495354053,0.046752747764530554,0.04537974031499515,14,3121,671,0
56,24,15605,0.003399351169496956,0.04853995901639344,0.04514060784689649,14,3121,671,0
57,24,118284,0.003474447292534444,0.04654899403874814,0.04307454674621369,14,3121,671,0
58,24,56963,0.00016145666453059918,0.0427766393442623,0.042615182679731696,14,3121,671,0
59,24,106825,0.00856346123037488,0.05016998882265276,0.04160652759227788,14,3121,671,0
60,24,105805,0.00031164891060557514,0.04128050484351714,0.040968855932911566,14,3121,671,0
61,24,3250,0.030297530839474528,0.07066761363636363,0.040370082796889105,14,3121,671,0
62,24,88641,0.0008348185677667415,0.041175717213114756,0.04034089864534801,14,3121,671,0
63,24,120135,0.00016395986863184878,0.04025591467958271,0.04009195481095086,14,3121,671,0
64,24,13362,0.005466997757129125,0.04553604694485842,0.04006904918772929,14,3121,671,0
65,24,46409,0.00036296459468119195,0.040011410208643815,0.03964844561396262,14,3121,671,0
66,24,39310,0.0,0.039539865871833085,0.039539865871833085,14,3121,671,0
67,24,70539,0.0151506428228132,0.05418102645305514,0.039030383630241944,14,3121,671,0
68,24,70632,0.0022779157321371354,0.04125139716840537,0.038973481436268234,14,3121,671,0
69,24,67316,0.00011639899070810638,0.03892278315946349,0.03880638416875538,14,3121,671,0
70,24,48149,0.00030789410445370075,0.038847103204172874,0.038539209099719175,14,3121,671,0
71,24,4376,0.013860241108619033,0.051741803278688527,0.037881562170069494,14,3121,671,0
72,24,47032,0.0,0.03764786698956781,0.03764786698956781,14,3121,671,0
73,24,117591,0.0018523710349247035,0.03914982302533532,0.03729745199041062,14,3121,671,0
74,24,117595,0.0441953200096123,0.0813384873323398,0.037143167322727495,14,3121,671,0
75,24,105067,0.001231576417814803,0.0381252328614009,0.036893656443586095,14,3121,671,0
76,24,58093,0.0118752002563281,0.048668032786885244,0.036792832530557144,14,3121,671,0
77,24,12324,0.022677777555270746,0.058716002235469446,0.0360382246801987,14,3121,671,0
78,24,70326,8.636054149311118e-05,0.03597126490312966,0.03588490436163655,14,3121,671,0
79,24,59276,0.012293235341236783,0.04756776266766021,0.03527452732642343,14,3121,671,0
80,24,31985,0.004797390660044858,0.03977272727272727,0.034975336612682414,14,3121,671,0
81,24,69061,0.01896802907721884,0.053936521982116244,0.034968492904897404,14,3121,671,0
82,24,52024,0.0021139558635052866,0.0370191412071535,0.03490518534364821,14,3121,671,0
83,24,20013,0.003388086751041333,0.03706571348733234,0.03367762673629101,14,3121,671,0
84,24,43994,0.004972614947132329,0.038585134128166915,0.033612519181034584,14,3121,671,0
85,24,43169,0.004682243271387376,0.03797387295081967,0.0332916296794323,14,3121,671,0
86,24,19871,0.0027222344601089393,0.03601201564828614,0.0332897811881772,14,3121,671,0
87,24,68506,0.01794797340595963,0.05106650521609538,0.03311853181013576,14,3121,671,0
88,24,127003,0.0,0.03310124813710879,0.03310124813710879,14,3121,671,0
89,24,79545,0.009686148269785325,0.0427766393442623,0.03309049107447697,14,3121,671,0
90,24,9629,0.01740853292214034,0.05006520119225037,0.03265666827011003,14,3121,671,0
91,24,59975,0.013209408042294136,0.045798016020864384,0.032588607978570244,14,3121,671,0
92,24,82971,0.007555921579621916,0.0401161978390462,0.03256027625942429,14,3121,671,0
93,24,8014,0.027027094681191927,0.059554303278688527,0.032527208597496596,14,3121,671,0
94,24,38663,0.004130286767061839,0.03618666169895678,0.03205637493189494,14,3121,671,0
95,24,93864,0.0004856215956424223,0.0324201285394933,0.031934506943850874,14,3121,671,0
96,24,118276,0.003915011214354374,0.035686009687034274,0.031770998472679904,14,3121,671,0
97,24,87987,0.05604924303107978,0.08761992362146051,0.03157068059038073,14,3121,671,0
98,24,107477,0.002386805110541493,0.03353204172876304,0.03114523661822155,14,3121,671,0
99,24,115689,0.0,0.031046246274217586,0.031046246274217586,14,3121,671,0
100,24,127560,0.01025312399871836,0.04078567436661699,0.030532550367898627,14,3121,671,0
101,24,29613,0.0,0.03025451751117735,0.03025451751117735,14,3121,671,0
102,24,100810,9.887656199935918e-05,0.030324375931445605,0.030225499369446247,14,3121,671,0
103,24,8713,0.0012115507850048062,0.031168498509687035,0.02995694772468223,14,3121,671,0
